timestamp,phase,epoch,loss,accuracy
2025-12-01 17:42:45,train,1,0.7565503435090501,0.6598703080184561
2025-12-01 17:42:45,val,1,0.6652703275705906,0.7391666769981384
2025-12-02 00:25:03,train,2,0.6162381126208508,0.7416760194537972
2025-12-02 00:25:03,val,2,0.5611180986495728,0.7639999985694885
2025-12-02 06:37:21,train,3,0.5285331562874799,0.7818098682296213
2025-12-02 06:37:21,val,3,0.5848934748705398,0.7526666522026062
2025-12-02 12:39:21,train,4,0.44973294030716443,0.818327305981627
2025-12-02 12:39:21,val,4,0.5886713703896137,0.7745000123977661
2025-12-02 19:18:53,train,5,0.3716069427417948,0.8494409111693062
2025-12-02 19:18:53,val,5,0.5899676943713046,0.7761666774749756
2025-12-03 04:39:02,train,6,0.2900168367047259,0.8873300910337948
2025-12-03 04:39:02,val,6,0.6709609307507252,0.7799999713897705
2025-12-03 13:57:32,train,7,0.2143876592460227,0.9187138878496903
2025-12-03 13:57:32,val,7,0.7297709850554771,0.7799999713897705
2025-12-04 01:17:14,train,8,0.15221515613944925,0.9438832772166106
2025-12-04 01:17:14,val,8,0.8402682409641591,0.7846666574478149
2025-12-04 07:24:19,train,9,0.1029836863441581,0.9636280500478032
2025-12-04 07:24:19,val,9,1.021328312919495,0.7816666960716248
2025-12-04 14:18:07,train,10,0.07215189794078469,0.9763478405453714
2025-12-04 14:18:07,val,10,1.1501136048043028,0.7821666598320007
